city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
Portland,US,45.5234,-122.6762,1651192111,100,78,55.99,4.61
Mana,GF,5.6592,-53.7767,1651192401,77,87,78.21,10.67
Mackay,AU,-21.15,149.2,1651192237,75,78,81.68,17.27
Lakatoro,VU,-16.0999,167.4164,1651192402,98,78,82.78,7.54
Aguadilla,PR,18.4275,-67.1541,1651192402,100,69,77.36,13.8
Sal Rei,CV,16.1833,-22.9167,1651192403,3,82,69.89,17.43
Torbay,CA,47.6666,-52.7314,1651192403,100,95,36.88,8.05
Santa Rosa,PH,14.3122,121.1114,1651192403,100,72,88.09,14.61
Yuanli,TW,24.4397,120.6535,1651192404,75,89,91.24,5.75
Zhanakorgan,KZ,43.9098,67.2495,1651192405,90,26,65.68,1.45
Pavlovsk,RU,50.4578,40.1081,1651192405,72,81,45.99,3.67
Kinshasa,CD,-4.3246,15.3215,1651192406,40,94,77.32,4.61
Trairi,BR,-3.2778,-39.2689,1651192406,75,91,76.78,6.29
Dubrovka,RU,53.6907,33.5071,1651192407,7,86,32.59,1.28
Ambulu,ID,-8.345,113.6058,1651192407,48,74,81.23,1.92
Clyde River,CA,70.4692,-68.5914,1651192407,100,85,3.43,6.91
Gemeente Druten,NL,51.8833,5.6,1651192408,100,77,47.1,7.0
Cayenne,GF,4.9333,-52.3333,1651192206,75,1,82.09,4.61
Suntar,RU,62.1444,117.6319,1651192408,100,70,38.46,3.76
Jinxiang,CN,27.4327,120.6062,1651192409,100,93,62.33,16.06
Kargasok,RU,59.0556,80.8572,1651192409,100,84,55.72,11.56
Osijek,HR,45.5511,18.6939,1651192410,40,93,54.41,3.44
Magdagachi,RU,53.45,125.8,1651192410,100,25,40.21,6.8
Chipinge,ZW,-20.1883,32.6236,1651192410,97,62,58.33,0.45
Galveston,US,29.3669,-94.9669,1651192411,0,80,76.17,14.97
Oga,IT,46.4631,10.347,1651192411,4,83,42.69,0.56
Pangnirtung,CA,66.1451,-65.7125,1651192412,100,81,17.33,9.89
Selma,US,36.5708,-119.6121,1651192123,0,32,74.08,15.41
Killybegs,IE,54.6333,-8.45,1651192412,25,86,46.27,4.41
